Date,High,Low,Close,Open,Volume,Close.adj
2020/1/09,191.22,180.25,189.86,180.25,7348336,189.86
2020/1/10,190.86,187.01,187.50,189.72,3628429,187.50
2020/1/13,188.85,185.00,188.30,188.00,3267106,188.30
2020/1/14,189.99,185.78,187.00,189.35,2793505,187.00
2020/1/15,189.60,186.58,188.44,187.00,3380073,188.44
2020/1/16,193.90,187.24,192.70,188.44,4497440,192.70
2020/1/17,194.70,190.00,193.05,193.08,3056911,193.05
2020/1/20,195.97,191.18,194.04,195.01,3851186,194.04
2020/1/21,200.20,192.00,193.37,194.48,4517045,193.37
2020/1/22,195.69,188.91,193.27,195.00,4389822,193.27
2020/1/23,195.00,185.94,187.68,195.00,4394808,187.68
2020/2/03,197.28,178.00,186.00,187.68,8848845,186.00
2020/2/04,204.38,187.23,199.99,187.87,10056318,199.99
2020/2/05,219.99,206.00,219.99,206.88,11001148,219.99
2020/2/06,229.99,217.70,221.84,229.99,14239018,221.84
2020/2/07,225.00,212.12,215.87,221.90,8663929,215.87
2020/2/10,226.00,217.00,225.43,217.00,9450734,225.43
2020/2/11,226.50,220.68,223.20,224.18,5244933,223.20
2020/2/12,228.63,221.05,228.00,223.00,5287564,228.00
2020/2/13,230.50,224.00,227.10,228.88,4370194,227.10
2020/2/14,241.00,225.80,236.55,226.00,6035730,236.55
2020/2/17,251.53,240.00,241.35,240.58,6291551,241.35
2020/2/18,244.90,237.99,242.29,238.06,3852644,242.29
2020/2/19,241.98,234.00,234.80,239.01,6300096,234.80
2020/2/20,237.80,233.13,234.99,234.80,4846309,234.99
2020/2/21,242.38,230.07,240.34,233.15,6566427,240.34
2020/2/24,251.54,242.10,250.08,242.50,8136347,250.08
2020/2/25,264.49,248.08,259.38,251.00,8060033,259.38
2020/2/26,259.30,247.30,247.90,259.00,7981781,247.90
2020/2/27,250.90,242.75,245.10,248.50,6256184,245.10
2020/2/28,247.81,237.00,239.00,244.00,10482896,239.00
2020/3/02,247.50,240.01,242.97,246.00,6369642,242.97
2020/3/03,267.27,257.50,261.99,259.00,10375804,261.99
2020/3/04,264.00,251.77,257.01,264.00,6706507,257.01
2020/3/05,270.01,259.10,261.22,264.00,7061403,261.22
2020/3/06,269.50,254.58,263.50,255.00,5364503,263.50
2020/3/09,275.54,258.55,266.70,260.79,6685133,266.70
2020/3/10,267.55,247.06,259.18,264.00,9825141,259.18
2020/3/11,260.88,247.79,249.00,259.20,6894538,249.00
2020/3/12,255.79,241.00,244.20,255.68,8743952,244.20
2020/3/13,252.21,228.33,246.26,230.90,9625449,246.26
2020/3/16,260.41,238.00,240.57,250.00,10555219,240.57
2020/3/17,249.00,230.06,242.50,245.74,6852882,242.50
2020/3/18,245.39,234.20,234.50,244.00,7004055,234.50
2020/3/19,235.90,220.00,226.29,232.52,9398388,226.29
2020/3/20,237.91,228.00,236.00,230.10,8186446,236.00
2020/3/23,247.58,232.00,242.55,232.30,9236924,242.55
2020/3/24,250.00,239.86,243.20,250.00,6081519,243.20
2020/3/25,254.91,247.82,253.88,247.82,6096081,253.88
2020/3/26,270.50,252.22,268.70,254.81,9167436,268.70
2020/3/27,273.87,257.00,262.83,273.70,8082776,262.83
2020/3/30,273.35,257.55,258.69,265.00,8211091,258.69
2020/3/31,265.00,256.20,261.70,258.70,5928301,261.70
2020/4/01,263.80,253.59,254.83,263.00,6085613,254.83
2020/4/02,255.01,247.50,254.10,254.83,7454073,254.10
2020/4/03,261.00,253.08,256.88,254.10,7491107,256.88
2020/4/07,266.68,254.01,264.72,260.60,9773387,264.72
2020/4/08,271.60,260.75,266.98,263.46,6502577,266.98
2020/4/09,275.75,263.90,271.49,267.20,6893050,271.49
2020/4/10,267.22,259.85,261.41,267.00,7517188,261.41
2020/4/13,265.20,258.80,260.70,261.51,3526937,260.70
2020/4/14,263.60,258.50,261.00,263.03,5289963,261.00
2020/4/15,268.50,261.01,264.56,262.09,5321271,264.56
2020/4/16,264.00,257.10,262.50,261.95,4195003,262.50
